comparison,n_meta_analyses,geometric_mean_percentage_reduction,median_percentage_reduction,percentage_attenuated,percentage_amplified,percentage_unchanged,percentage_sign_reversal
PET-PEESE vs fixed effect (reference),704,-17.918314882964758,-7.985078545972157,45.028409090909086,54.97159090909091,0,21.732954545454543
PET-PEESE vs random effects (reference),704,26.46627645094769,6.5230525585924735,59.375,40.625,0,22.443181818181817
Fixed effect vs random effects (reference),704,37.64011670109486,17.444293645757085,71.30681818181817,28.693181818181817,0,6.676136363636363
