cID,k_original,k_analyzed,k_conventional,n_outliers_identified,n_outliers_removed,residual_screen_fallback,pet_peese_method,pet_peese_estimate,pet_peese_se,pet_peese_p_value,small_study_effect_p_value,random_effect_estimate,random_effect_se,random_effect_p_value,random_effect_tau2,random_effect_fallback,pet_peese_vs_random_deviation,pet_peese_vs_random_percentage_deviation
10-1,341,328,328,13,13,FALSE,PEESE,-0.3196022674259813,0.08781400858243181,6.547658152653398e-4,1.7015501959604797e-16,1.7275404613851648,0.150117898101103,1.1376639307090192e-18,1.4315243265352717,FALSE,-1.4079381939591835,-81.49957847182809
1002-1,60,60,60,0,0,FALSE,PEESE,0.11431578869425352,0.03046437530313381,0.015087652659716521,0.45249429383676343,0.10247960235798059,0.02296320060410573,0.0030919981555482313,0.0032523363507304093,FALSE,0.011836186336272925,11.549797290320168
1009-1,13,13,13,0,0,FALSE,PET,-0.024314930795390176,0.11920827380381309,0.856443413519537,0.056549837788693574,-0.1416845153693357,0.1168382185512064,0.3519594744460943,0.008895442289673379,FALSE,-0.11736958457394553,-82.83868160750856
1023-1,279,279,279,0,0,FALSE,PET,-0.1515925429662821,0.1407343040835943,0.2956870104866121,0.5790242748053482,-0.18333295090210636,0.10801452550529216,0.10406100874066074,0.22938885479679466,FALSE,-0.03174040793582425,-17.312985897866533
1023-2,279,270,270,9,9,FALSE,PEESE,-0.3362208499529915,0.1349121769376581,0.026982865799048263,0.17545628090290047,-0.10323356038840167,0.14216777737397696,0.47927121003314654,0.25551425598797517,FALSE,0.23298728956458983,225.68948381515477
1062-1,41,41,41,0,0,FALSE,PEESE,-0.5438071188272047,0.1428339463055362,0.0053956105077292826,0.4961287331167715,-0.610871764887185,0.12405034155452291,2.198565851889048e-4,0.08295152546622543,FALSE,-0.0670646460599803,-10.978514626939047
1062-2,38,38,38,0,0,FALSE,PEESE,-1.255254714671872,0.16472018210110692,6.521014186223992e-7,0.5771727267211104,-1.2282525523151515,0.13238220892370436,1.7379102692514122e-8,4.0238466449268805e-7,FALSE,0.027002162356720483,2.198421025531248
1075-1,39,39,39,0,0,FALSE,PEESE,-0.11595449480610372,0.013036815217208387,1.0752044849820854e-6,0.13560427736323027,-0.10847694398845328,0.01249762688672381,1.540668981464181e-6,8.775803721031919e-10,FALSE,0.007477550817650433,6.893216699067752
1075-2,19,19,19,0,0,FALSE,PEESE,-0.07365464208368087,0.009829311608940497,1.7406996314702844e-5,0.5621294739111425,-0.06889315158685293,0.01305205130946112,2.461647268489955e-4,0.0010864748334580262,FALSE,0.004761490496827947,6.9114133802184705
1077-1,8,6,6,2,2,FALSE,PEESE,-1.5145917841320775,0.5889781493114327,0.0699137514140239,0.19522636842120228,2.153097397732613,2.352774731406869,0.40259087906830954,15.89952922123213,FALSE,-0.6385056136005354,-29.65521273087478
1077-2,8,7,7,1,1,FALSE,PET,-1.9085953016292652,0.726994288689907,0.10485626479512515,0.7674731953554168,-1.6363029514083638,0.20714392648344332,3.6371866005271064e-4,0.057676246835454394,FALSE,0.27229235022090137,16.640705193774764
109-1,35,35,35,0,0,FALSE,PET,2.134632383677872,1.6896681051034217,0.3063455122936036,0.32374758627736144,-0.36045093913934195,0.20922669501190477,0.11970230460192127,0.3466145850385218,FALSE,1.77418144453853,492.21163045788944
1108-1,13,5,5,8,8,FALSE,PEESE,0.3744967338762144,0.38046005707061414,0.4682922707280107,0.023363901196996908,-1.594591250194959,0.7071025279003184,0.11165127428478863,1.558574915475558,FALSE,-1.2200945163187447,-76.51456234753405
1108-3,24,13,13,11,11,FALSE,PET,1.1406518904253375,1.5071358653264748,0.4947233526131627,0.033740949653458446,-3.3482384677666768,1.47198243483484,0.08538584747227584,10.102733598035277,FALSE,-2.2075865773413392,-65.93277625215958
1111-1,146,146,146,0,0,FALSE,PET,-0.09229136760314906,0.08777561211466887,0.30625798503354196,0.9008154925137883,-0.10242111295227407,0.07731777918928184,0.1986114838311399,0.07422111646269332,FALSE,-0.010129745349125016,-9.890290250844325
1111-2,109,109,109,0,0,FALSE,PET,-0.20577738112219676,0.21144330604646094,0.3474163191213735,0.5645126578268851,-0.2942705566568781,0.12902820403776036,0.03784327212559393,0.21113929339511747,FALSE,-0.08849317553468136,-30.072045446892986
1111-3,432,414,414,18,18,FALSE,PEESE,-0.40758013535804255,0.06872643338259074,1.8680546608921891e-7,0.29934364442544736,-0.4097618158701573,0.068756342255519,1.6599279533038816e-7,0.18240141934540963,FALSE,-0.0021816805121147587,-0.5324265042807395
1117-1,882,877,877,5,5,FALSE,PEESE,0.41813853519140914,0.06434746159046244,1.3087186357153004e-8,0.594826314510505,0.41475314977380073,0.06249512337249101,7.429020043588024e-9,0.23032815576985916,FALSE,0.003385385417608411,0.8162410386647436
1117-2,1217,1212,1212,5,5,FALSE,PET,-0.0962317041024074,0.05986963326339238,0.11549653649512688,0.34215565271542303,-0.14636391715058217,0.042891434191263386,0.0013655350271696725,0.06198913398210805,FALSE,-0.050132213048174765,-34.25175687023854
1125-1,587,568,568,19,19,FALSE,PEESE,-0.7720780124036234,0.14474598628181878,1.3230821861015894e-5,0.7021177076385304,-0.7245384750158772,0.06768365215697814,3.238566666623356e-17,0.247160886773344,FALSE,0.04753953738774619,6.561354438313912
1125-2,353,349,349,4,4,FALSE,PET,-0.7325673302677489,0.7604337278030999,0.35034943033790045,0.827944962129185,-0.5658114131220962,0.0741262975064173,1.8466344533097782e-11,0.3212437466034562,FALSE,0.16675591714565274,29.47199601816243
1125-3,134,134,134,0,0,FALSE,PET,-0.6747889196446465,0.6644722197393931,0.3256532452654508,0.8943989851774324,-0.5883631736640126,0.12030106615078366,2.2777906583899778e-5,0.3229901362020234,FALSE,0.0864257459806339,14.689183458308646
1125-4,199,194,194,5,5,FALSE,PET,-1.1259153892509033,0.8561434137701444,0.2226541919021516,0.9997262686084015,-1.1253611108086579,0.16908118176922132,3.3971747287981623e-8,1.0252428118760937,FALSE,5.542784422454261e-4,0.049253385150934775
1138-1,71,71,71,0,0,FALSE,PET,-0.0317470109470642,0.22533869743405663,0.9042962859307162,0.6937960619188612,-0.13669339703215586,0.034226286417666785,0.06682369132268845,3.5756123547580825e-5,FALSE,-0.10494638608509166,-76.77502232269785
1138-11,66,66,66,0,0,FALSE,PET,0.026892399978609437,0.09025302675740719,0.8124696008555188,0.3706868795053918,-0.04617325608942585,0.04860311550584951,0.41978178487487267,0.0029056799982985953,FALSE,-0.019280856110816414,-41.7576271282976
