comparison,median_magnitude_deviation,median_percentage_deviation,mean_absolute_difference,rmse,correlation
PET-PEESE vs fixed effect (original),0.006853623258895077,7.98507854597215,13.028002917604212,308.3018341439291,0.46418822122230835
PET-PEESE vs random effects (original),-0.010597775973777798,-6.5230525585924735,9.330755542265198,211.6403318940728,0.4422316875055565
Fixed effect vs random effects (original),-0.03093095344425495,-17.444293645757085,20.057886675476883,518.4716268214619,0.7883703402877641
