"","Difference","0.95 CI"
"0.9 < p","0.012","[0.009, 0.015]"
"0.8 < p < 0.9","0","[-0.004, 0.002]"
"0.7 < p < 0.8","0","[-0.004, 0.002]"
"0.6 < p < 0.7","-0.005","[-0.008, -0.002]"
"0.5 < p < 0.6","0","[-0.004, 0.002]"
"0.4 < p < 0.5","-0.005","[-0.009, -0.003]"
"0.3 < p < 0.4","-0.008","[-0.013, -0.006]"
"0.2 < p < 0.3","-0.011","[-0.016, -0.008]"
"0.1 < p < 0.2","-0.01","[-0.015, -0.006]"
"0.05 < p < 0.1","-0.004","[-0.007, -0.002]"
"0.01 < p < 0.05","0.002","[-0.002, 0.006]"
"0.001 < p < 0.01","0.004","[0.001, 0.007]"
"p < 0.001","0.026","[-0.005, 0.07]"
"ESR_{0.1}^{all}","0.028","[0.004, 0.065]"
"ESR_{0.05}^{all}","0.032","[0.006, 0.073]"
"ESR_{0.1}^{sig}","0.048","[0.03, 0.088]"
"ESR_{0.05}^{sig}","0.061","[0.042, 0.108]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
