"","M","N","Mean","Median","Min","Q25","Q50","Q75","Max"
"All meta-analyses",708,63807,90,25,5,10,25,69,1503
"Observational",542,38700,71,17,5,9,17,43,1488
"Experimental",166,25107,151,84,5,42,84,178,1503
"SAPE > 0",414,51444,124,38,5,15,38,109,1503
"SAPE = 0",294,12363,42,13,5,8,13,43,803
"Yes",367,18448,50,14,5,7,14,35,1488
"No",341,45359,133,49,5,18,49,128,1503
"Yes",43,2421,56,23,6,10,23,58,647
"No",665,61386,92,25,5,10,25,70,1503
