"","Difference","0.95 CI"
"0.9 < p","0.01","[0.006, 0.012]"
"0.8 < p < 0.9","-0.003","[-0.007, 0]"
"0.7 < p < 0.8","-0.003","[-0.007, -0.001]"
"0.6 < p < 0.7","-0.007","[-0.011, -0.005]"
"0.5 < p < 0.6","-0.002","[-0.006, 0]"
"0.4 < p < 0.5","-0.008","[-0.012, -0.005]"
"0.3 < p < 0.4","-0.011","[-0.015, -0.008]"
"0.2 < p < 0.3","-0.014","[-0.018, -0.011]"
"0.1 < p < 0.2","-0.013","[-0.018, -0.009]"
"0.05 < p < 0.1","-0.006","[-0.009, -0.003]"
"0.01 < p < 0.05","0.001","[-0.003, 0.005]"
"0.001 < p < 0.01","0.004","[0.001, 0.007]"
"p < 0.001","0.051","[0.019, 0.093]"
"ESR_{0.1}^{all}","0.05","[0.027, 0.088]"
"ESR_{0.05}^{all}","0.056","[0.03, 0.096]"
"ESR_{0.1}^{sig}","0.086","[0.067, 0.128]"
"ESR_{0.05}^{sig}","0.106","[0.086, 0.155]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
