"","Difference","0.95 CI"
"0.9 < p","0.009","[0.005, 0.011]"
"0.8 < p < 0.9","-0.004","[-0.008, -0.001]"
"0.7 < p < 0.8","-0.004","[-0.008, -0.001]"
"0.6 < p < 0.7","-0.008","[-0.012, -0.005]"
"0.5 < p < 0.6","-0.004","[-0.008, -0.001]"
"0.4 < p < 0.5","-0.009","[-0.013, -0.006]"
"0.3 < p < 0.4","-0.012","[-0.017, -0.009]"
"0.2 < p < 0.3","-0.015","[-0.019, -0.011]"
"0.1 < p < 0.2","-0.013","[-0.019, -0.01]"
"0.05 < p < 0.1","-0.005","[-0.008, -0.003]"
"0.01 < p < 0.05","0.002","[-0.001, 0.006]"
"0.001 < p < 0.01","0.007","[0.004, 0.009]"
"p < 0.001","0.056","[0.023, 0.1]"
"ESR_{0.1}^{all}","0.06","[0.033, 0.099]"
"ESR_{0.05}^{all}","0.065","[0.036, 0.108]"
"ESR_{0.1}^{sig}","0.103","[0.081, 0.14]"
"ESR_{0.05}^{sig}","0.123","[0.098, 0.168]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
