"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",704,63251,0.11,0.16,0.35,0.07,0.59,0.18
"Ecology",162,19804,0.11,0.14,0.33,0.06,0.53,0.19
"Environmental Chemistry",65,8346,0.11,0.09,0.24,0.06,0.25,0.11
"Environmental Engineering",40,12499,0.25,0.21,0.36,0.13,0.52,0.16
"Health, Toxicology and Mutagenesis",279,7949,0.1,0.29,0.49,0.07,1,0.39
"Management, Monitoring, Policy and Law",19,818,0.1,0.09,0.21,0.05,0.23,0.07
"Nature and Landscape Conservation",98,13052,0.1,0.16,0.35,0.06,0.63,0.2
"Water Science and Technology",41,783,0.17,0.25,0.41,0.1,0.77,0.24
