"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",708,63823,0.11,0.15,0.34,0.07,0.55,0.18
"Ecology",162,20032,0.11,0.13,0.32,0.06,0.49,0.18
"Environmental Chemistry",65,8523,0.1,0.09,0.23,0.06,0.24,0.11
"Environmental Engineering",40,12217,0.24,0.2,0.34,0.12,0.49,0.15
"Health, Toxicology and Mutagenesis",283,8378,0.1,0.29,0.49,0.07,1,0.39
"Management, Monitoring, Policy and Law",19,816,0.1,0.08,0.21,0.05,0.22,0.07
"Nature and Landscape Conservation",98,13051,0.1,0.15,0.34,0.06,0.57,0.19
"Water Science and Technology",41,806,0.18,0.23,0.4,0.1,0.78,0.24
