"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",707,63802,0.17,0.39,0.49,0.09,0.97,0.18
"Ecology",162,20017,0.28,0.37,0.48,0.08,0.98,0.34
"Environmental Chemistry",65,8533,0.21,0.19,0.37,0.09,0.64,0.2
"Environmental Engineering",40,12211,0.72,0.6,0.6,0.33,0.97,0.37
"Health, Toxicology and Mutagenesis",282,8372,0.14,0.61,0.56,0.09,1,0.46
"Management, Monitoring, Policy and Law",19,815,0.1,0.12,0.32,0.06,0.59,0.17
"Nature and Landscape Conservation",98,13049,0.12,0.2,0.41,0.07,0.87,0.27
"Water Science and Technology",41,805,0.53,0.54,0.56,0.12,1,0.42
