"","M","N","Mean","Median","Min","Q25","Q50","Q75","Max"
"All meta-analyses",708,63823,90,25,5,10,25,69,1500
"Observational",542,38717,71,16,5,9,16,44,1488
"Experimental",166,25106,151,83,5,42,83,178,1500
"SAPE > 0",478,53317,112,32,5,13,32,87,1500
"SAPE = 0",230,10506,46,14,5,7,14,46,646
"Yes",367,18460,50,13,5,7,13,34,1488
"No",341,45363,133,50,5,18,50,128,1500
"Yes",43,2418,56,23,6,10,23,57,646
"No",665,61405,92,25,5,10,25,70,1500
