"","Difference","0.95 CI"
"0.9 < p","0.003","[0, 0.005]"
"0.8 < p < 0.9","-0.01","[-0.013, -0.008]"
"0.7 < p < 0.8","-0.01","[-0.014, -0.008]"
"0.6 < p < 0.7","-0.014","[-0.018, -0.012]"
"0.5 < p < 0.6","-0.01","[-0.014, -0.008]"
"0.4 < p < 0.5","-0.015","[-0.019, -0.013]"
"0.3 < p < 0.4","-0.019","[-0.022, -0.016]"
"0.2 < p < 0.3","-0.022","[-0.025, -0.019]"
"0.1 < p < 0.2","-0.021","[-0.025, -0.018]"
"0.05 < p < 0.1","-0.009","[-0.011, -0.007]"
"0.01 < p < 0.05","0","[-0.002, 0.003]"
"0.001 < p < 0.01","0.008","[0.008, 0.012]"
"p < 0.001","0.121","[0.092, 0.15]"
"ESR_{0.1}^{all}","0.12","[0.096, 0.15]"
"ESR_{0.05}^{all}","0.129","[0.103, 0.161]"
"ESR_{0.1}^{sig}","0.206","[0.182, 0.234]"
"ESR_{0.05}^{sig}","0.244","[0.216, 0.277]"
"No. of meta-analysis","704","0"
"No. of tests","63251","0"
