"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",701,62942,0.07,0.08,0.22,0.05,0.19,0.18
"Ecology",160,19526,0.06,0.07,0.21,0.05,0.16,0.1
"Environmental Chemistry",63,8332,0.06,0.06,0.15,0.05,0.1,0.05
"Environmental Engineering",40,12499,0.1,0.09,0.19,0.07,0.17,0.07
"Health, Toxicology and Mutagenesis",280,8008,0.06,0.11,0.39,0.06,1,0.31
"Management, Monitoring, Policy and Law",19,818,0.06,0.06,0.11,0.05,0.09,0.01
"Nature and Landscape Conservation",98,12976,0.06,0.08,0.21,0.05,0.2,0.09
"Water Science and Technology",41,783,0.08,0.1,0.24,0.06,0.27,0.11
