"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",704,63251,0.08,0.08,0.26,0.06,0.27,0.18
"Ecology",162,19804,0.09,0.09,0.28,0.06,0.35,0.17
"Environmental Chemistry",65,8346,0.07,0.07,0.19,0.05,0.14,0.09
"Environmental Engineering",40,12499,0.09,0.08,0.17,0.06,0.14,0.06
"Health, Toxicology and Mutagenesis",279,7949,0.07,0.09,0.34,0.05,0.77,0.25
"Management, Monitoring, Policy and Law",19,818,0.1,0.08,0.21,0.05,0.24,0.08
"Nature and Landscape Conservation",98,13052,0.08,0.11,0.31,0.06,0.5,0.17
"Water Science and Technology",41,783,0.14,0.16,0.37,0.07,0.77,0.24
