"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",704,63956,0.08,0.13,0.32,0.06,0.51,0.18
"Ecology",162,20003,0.09,0.13,0.33,0.06,0.55,0.19
"Environmental Chemistry",65,8490,0.08,0.08,0.22,0.06,0.2,0.1
"Environmental Engineering",40,12518,0.24,0.19,0.34,0.11,0.49,0.14
"Health, Toxicology and Mutagenesis",279,8220,0.07,0.2,0.46,0.06,1,0.36
"Management, Monitoring, Policy and Law",19,818,0.06,0.06,0.17,0.05,0.19,0.04
"Nature and Landscape Conservation",98,13115,0.07,0.09,0.29,0.06,0.41,0.16
"Water Science and Technology",41,792,0.28,0.2,0.41,0.07,0.83,0.28
