"","M","N","Mean","Median","Min","Q25","Q50","Q75","Max"
"All meta-analyses",704,63956,91,25,3,10,25,68,1522
"Observational",538,38699,72,16,3,8,16,43,1488
"Experimental",166,25257,152,84,3,42,84,178,1522
"SAPE > 0",285,43546,153,41,3,18,41,143,1522
"SAPE = 0",419,20410,49,15,3,8,15,48,813
"Yes",363,18218,50,13,3,7,13,34,1488
"No",341,45738,134,50,4,17,50,125,1522
"Yes",43,2389,56,21,3,10,21,57,655
"No",661,61567,93,25,3,10,25,70,1522
