"","Difference","0.95 CI"
"0.9 < p","0.012","[0.008, 0.014]"
"0.8 < p < 0.9","0","[-0.005, 0.001]"
"0.7 < p < 0.8","-0.001","[-0.005, 0.001]"
"0.6 < p < 0.7","-0.005","[-0.009, -0.003]"
"0.5 < p < 0.6","0","[-0.004, 0.002]"
"0.4 < p < 0.5","-0.005","[-0.01, -0.003]"
"0.3 < p < 0.4","-0.009","[-0.013, -0.006]"
"0.2 < p < 0.3","-0.012","[-0.016, -0.009]"
"0.1 < p < 0.2","-0.011","[-0.016, -0.007]"
"0.05 < p < 0.1","-0.005","[-0.008, -0.003]"
"0.01 < p < 0.05","0","[-0.003, 0.004]"
"0.001 < p < 0.01","0.001","[-0.001, 0.004]"
"p < 0.001","0.035","[0.005, 0.077]"
"ESR_{0.1}^{all}","0.03","[0.009, 0.07]"
"ESR_{0.05}^{all}","0.035","[0.012, 0.078]"
"ESR_{0.1}^{sig}","0.052","[0.035, 0.092]"
"ESR_{0.05}^{sig}","0.066","[0.047, 0.113]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
