"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",708,63807,0.06,0.07,0.2,0.05,0.16,0.18
"Ecology",162,20017,0.06,0.07,0.21,0.05,0.17,0.11
"Environmental Chemistry",65,8533,0.06,0.06,0.13,0.05,0.09,0.04
"Environmental Engineering",40,12211,0.1,0.09,0.19,0.07,0.16,0.07
"Health, Toxicology and Mutagenesis",283,8377,NA,0.09,0.38,0.05,1,0.3
"Management, Monitoring, Policy and Law",19,815,0.05,0.05,0.09,0.05,0.09,0
"Nature and Landscape Conservation",98,13049,0.05,0.06,0.16,0.05,0.12,0.05
"Water Science and Technology",41,805,0.08,0.08,0.25,0.05,0.31,0.12
