"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",708,63807,0.08,0.13,0.32,0.06,0.5,0.18
"Ecology",162,20017,0.11,0.13,0.32,0.06,0.52,0.18
"Environmental Chemistry",65,8533,0.09,0.08,0.22,0.06,0.21,0.09
"Environmental Engineering",40,12211,0.24,0.2,0.34,0.12,0.5,0.15
"Health, Toxicology and Mutagenesis",283,8377,NA,0.2,0.46,0.06,1,0.36
"Management, Monitoring, Policy and Law",19,815,0.06,0.07,0.16,0.05,0.19,0.03
"Nature and Landscape Conservation",98,13049,0.07,0.09,0.26,0.05,0.34,0.13
"Water Science and Technology",41,805,0.17,0.18,0.4,0.07,0.83,0.27
