"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",704,63251,0.17,0.19,0.39,0.08,0.78,0.18
"Ecology",162,19804,0.2,0.23,0.42,0.08,0.88,0.27
"Environmental Chemistry",65,8346,0.12,0.12,0.29,0.06,0.41,0.16
"Environmental Engineering",40,12499,0.2,0.16,0.31,0.1,0.4,0.12
"Health, Toxicology and Mutagenesis",279,7949,0.13,0.2,0.44,0.06,1,0.33
"Management, Monitoring, Policy and Law",19,818,0.26,0.19,0.37,0.05,0.71,0.21
"Nature and Landscape Conservation",98,13052,0.18,0.3,0.46,0.09,0.98,0.32
"Water Science and Technology",41,783,0.42,0.47,0.53,0.12,1,0.39
