"estimator","meta_average_multiplier","heterogeneity_multiplier","setup_label","outlier_variant","measure","estimate","confidence_interval"
"multilevel_random",0.5,0,"meta_0p5_heterogeneity_0","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",0.5,0,"meta_0p5_heterogeneity_0","outliers_removed","No. of tests","63823","0"
"pet_peese",0.5,0,"meta_0p5_heterogeneity_0","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",0.5,0,"meta_0p5_heterogeneity_0","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",0.5,0,"meta_0p5_heterogeneity_0","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",0.5,0,"meta_0p5_heterogeneity_0","outliers_removed","No. of tests","63807","0"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.9 < p","0.001","[-0.001, 0.003]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.8 < p < 0.9","-0.011","[-0.014, -0.009]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.7 < p < 0.8","-0.012","[-0.014, -0.01]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.6 < p < 0.7","-0.016","[-0.018, -0.014]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.5 < p < 0.6","-0.011","[-0.013, -0.009]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.4 < p < 0.5","-0.017","[-0.019, -0.015]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.3 < p < 0.4","-0.021","[-0.023, -0.019]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.2 < p < 0.3","-0.024","[-0.026, -0.022]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.1 < p < 0.2","-0.023","[-0.026, -0.021]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.05 < p < 0.1","-0.01","[-0.012, -0.009]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.01 < p < 0.05","0.001","[-0.002, 0.004]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","0.001 < p < 0.01","0.011","[0.008, 0.015]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","p < 0.001","0.131","[0.113, 0.152]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","ESR_{0.1}^{all}","0.133","[0.115, 0.152]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{all}","0.143","[0.124, 0.163]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","ESR_{0.1}^{sig}","0.229","[0.213, 0.251]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{sig}","0.272","[0.255, 0.296]"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","No. of tests","63823","0"
"pet_peese",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",0.5,0.25,"meta_0p5_heterogeneity_0p25","outliers_removed","No. of tests","63807","0"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.9 < p","0.005","[0.003, 0.008]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.8 < p < 0.9","-0.007","[-0.009, -0.005]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.7 < p < 0.8","-0.007","[-0.01, -0.005]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.6 < p < 0.7","-0.012","[-0.014, -0.009]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.5 < p < 0.6","-0.007","[-0.009, -0.005]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.4 < p < 0.5","-0.012","[-0.014, -0.01]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.3 < p < 0.4","-0.016","[-0.018, -0.014]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.2 < p < 0.3","-0.019","[-0.021, -0.017]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.1 < p < 0.2","-0.019","[-0.021, -0.016]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.05 < p < 0.1","-0.009","[-0.01, -0.007]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.01 < p < 0.05","0.001","[-0.003, 0.004]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","0.001 < p < 0.01","0.008","[0.005, 0.012]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","p < 0.001","0.094","[0.073, 0.115]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","ESR_{0.1}^{all}","0.094","[0.074, 0.113]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{all}","0.103","[0.081, 0.122]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","ESR_{0.1}^{sig}","0.163","[0.148, 0.185]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{sig}","0.195","[0.178, 0.219]"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","No. of tests","63823","0"
"pet_peese",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",0.5,0.5,"meta_0p5_heterogeneity_0p5","outliers_removed","No. of tests","63807","0"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.9 < p","0.008","[0.006, 0.011]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.8 < p < 0.9","-0.004","[-0.006, -0.002]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.7 < p < 0.8","-0.004","[-0.007, -0.002]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.6 < p < 0.7","-0.008","[-0.011, -0.006]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.5 < p < 0.6","-0.004","[-0.006, -0.001]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.4 < p < 0.5","-0.009","[-0.011, -0.007]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.3 < p < 0.4","-0.013","[-0.015, -0.011]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.2 < p < 0.3","-0.016","[-0.018, -0.013]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.1 < p < 0.2","-0.015","[-0.018, -0.013]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.05 < p < 0.1","-0.007","[-0.009, -0.005]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.01 < p < 0.05","0.001","[-0.002, 0.004]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","0.001 < p < 0.01","0.006","[0.003, 0.01]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","p < 0.001","0.066","[0.042, 0.086]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","ESR_{0.1}^{all}","0.066","[0.044, 0.085]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","ESR_{0.05}^{all}","0.073","[0.05, 0.093]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","ESR_{0.1}^{sig}","0.114","[0.098, 0.136]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","ESR_{0.05}^{sig}","0.138","[0.121, 0.163]"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","No. of tests","63823","0"
"pet_peese",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",0.5,0.75,"meta_0p5_heterogeneity_0p75","outliers_removed","No. of tests","63807","0"
"multilevel_random",1,0,"meta_1_heterogeneity_0","outliers_removed","ESR_{0.05}^{all}","0.006","[-0.016, 0.043]"
"multilevel_random",1,0,"meta_1_heterogeneity_0","outliers_removed","ESR_{0.05}^{sig}","0.011","[-0.025, 0.064]"
"multilevel_random",1,0,"meta_1_heterogeneity_0","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",1,0,"meta_1_heterogeneity_0","outliers_removed","No. of tests","63823","0"
"pet_peese",1,0,"meta_1_heterogeneity_0","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",1,0,"meta_1_heterogeneity_0","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",1,0,"meta_1_heterogeneity_0","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",1,0,"meta_1_heterogeneity_0","outliers_removed","No. of tests","63807","0"
"multilevel_random",1,0.25,"meta_1_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{all}","0.014","[-0.005, 0.045]"
"multilevel_random",1,0.25,"meta_1_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{sig}","0.027","[-0.004, 0.068]"
"multilevel_random",1,0.25,"meta_1_heterogeneity_0p25","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",1,0.25,"meta_1_heterogeneity_0p25","outliers_removed","No. of tests","63823","0"
"pet_peese",1,0.25,"meta_1_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",1,0.25,"meta_1_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",1,0.25,"meta_1_heterogeneity_0p25","outliers_removed","No. of meta-analysis","708","0"
