"","M","N","Mean","Median","Min","Q25","Q50","Q75","Max"
"All meta-analyses",210,22798,109,32,1,15,32,87,874
"Observational",150,14655,98,24,1,13,24,52,874
"Experimental",60,8143,136,69,3,29,69,158,830
"SAPE > 0",163,21626,133,38,2,19,38,150,874
"SAPE = 0",47,1172,25,14,1,4,14,35,123
"Yes",88,6256,71,23,1,12,23,38,845
"No",122,16542,136,46,1,20,46,152,874
"Yes",9,154,17,17,2,14,17,20,32
"No",201,22644,113,35,1,16,35,105,874
