"","Difference","0.95 CI"
"0.9 < p","0.016","[0.013, 0.018]"
"0.8 < p < 0.9","0.003","[0, 0.005]"
"0.7 < p < 0.8","0.003","[0, 0.005]"
"0.6 < p < 0.7","-0.001","[-0.004, 0.001]"
"0.5 < p < 0.6","0.003","[0, 0.005]"
"0.4 < p < 0.5","-0.002","[-0.005, 0]"
"0.3 < p < 0.4","-0.006","[-0.009, -0.003]"
"0.2 < p < 0.3","-0.009","[-0.013, -0.006]"
"0.1 < p < 0.2","-0.009","[-0.014, -0.006]"
"0.05 < p < 0.1","-0.005","[-0.008, -0.003]"
"0.01 < p < 0.05","-0.003","[-0.007, 0]"
"0.001 < p < 0.01","-0.004","[-0.006, -0.001]"
"p < 0.001","0.014","[-0.015, 0.051]"
"ESR_{0.1}^{all}","0.001","[-0.02, 0.032]"
"ESR_{0.05}^{all}","0.006","[-0.017, 0.04]"
"ESR_{0.1}^{sig}","0.001","[-0.018, 0.026]"
"ESR_{0.05}^{sig}","0.011","[-0.01, 0.042]"
"No. of meta-analysis","704","0"
"No. of tests","63251","0"
