"","M","N","mmedian","median","mean","Q25","Q75","SAPE"
"All meta-analyses",708,63823,0.3,0.46,0.52,0.12,0.99,0.18
"Ecology",162,20032,0.3,0.39,0.49,0.09,0.97,0.34
"Environmental Chemistry",65,8523,0.25,0.22,0.39,0.11,0.7,0.22
"Environmental Engineering",40,12217,0.71,0.6,0.61,0.34,0.97,0.37
"Health, Toxicology and Mutagenesis",283,8378,0.24,0.81,0.61,0.14,1,0.5
"Management, Monitoring, Policy and Law",19,816,0.24,0.18,0.36,0.05,0.66,0.21
"Nature and Landscape Conservation",98,13051,0.25,0.44,0.51,0.1,0.99,0.36
"Water Science and Technology",41,806,0.54,0.69,0.62,0.26,1,0.46
