sample,n_meta_analyses,median_between_study_variance,median_within_study_effect_size_variance,ratio_of_median_variances,median_within_meta_analysis_variance_ratio,median_between_study_percentage_of_total_heterogeneity,percentage_with_zero_within_study_effect_size_variance
All data,707,0.06387180399804075,0.012806355520978157,4.987508264424802,1.1267241318661023,77.70886823735086,23.055162659123056
Outliers removed,707,0.04863413596445513,0.008899738182437902,5.464670416982177,1.230751113858895,75.9396761077936,23.196605374823196
